id;name;text;time;likes;reply;CleanedText
UCds1d9ZDLejQwDf9nM6UBzw;@makeki7756;Tldr<br>Energy related<br>Biology related<br>Those who make AI;2024-04-12T18:03:36Z;370;;Tldr Energy related Biology related Those who make AI
UC7-sewl_4Eb-kvjDbfZq4KQ;@PsyHappyness;Lawyers will survive forever, even Cases related to AI app and AI fraud is handled by them.;2024-04-12T17:38:00Z;198;;Lawyers will survive forever, even Cases related to AI app and AI fraud is handled by them.
UCJMD9EG7cYroG4_wLkVPYHg;@Deepakkumar-cn9vq;anchor she is reading the news jobs is also not safe ,AI anchors we can see everywhere;2024-04-12T18:00:56Z;124;;Anchor she is reading the news jobs is also not safe, AI anchors we can see everywhere
UCNH_csyh2ZEZqQ_Wv3bK6KQ;@Bhairavvvv;Women are immune to AI ,they can run their show even if robots replace them;2024-04-12T18:08:29Z;55;;Women are immune to AI, they can run their show even if robots replace them
UC20l7QfHuI5lTjGW4FqzHdA;@BhayankarYodha;Trade realted jibs will be high paying and demanding....like electrucians, plumbers, carpenter, pipefitter, welder, drywaller, brick masonary etc;2024-04-13T02:27:56Z;40;;Trade related jibs will be high paying and demanding....like electricians, plumbers, carpenter, pipe fitter, welder, drywaller, brick masonry etc
UC7OD5ldvfnQfspSQCuLon1Q;@shadabahmed;AI is just a tool it will help to accelerate each task. <br>Anyway nothing is gonna change  next 10-15 years. AI still need long way to travel.;2024-04-13T07:27:58Z;37;;AI is just a tool it will help to accelerate each task. Anyway nothing is going to change next 10 15 years. AI still need long way to travel.
UCyW5MKMeo5wuBPFkiL3cWBw;@cassiejacobs4197;Last year, I was working full time, budgeting groceries, unable to afford date nights, and missing time with my kids. Now I learned how to make money online. Now am a SAHM, homeschooling, and making profits every week.;2024-04-16T12:21:12Z;33;;Last year, I was working full-time, budgeting groceries, unable to afford date nights, and missing time with my kids. Now I learned how to make money online. Now am a SAM, homeschooling, and making profit is every week.
UCDYXxla07HLA92SNNwruGSg;@anandhindu3123;"AI can&#39;t replace jobs that involve human touch....... !!!";2024-04-13T05:24:52Z;29;;AI can't replace jobs that involve human touch....... !!!
UCFHmkNHsasPovKwDgVyUCMw;@jesseinfinite;That pokemon metaphor sucks.<br>Pokemon are neither rare, nor hard to catch.<br>Shiny pokemon on the other hand are rare.<br>Legendary pokemon are hard to catch.;2024-04-12T19:39:46Z;27;;That Pokémon metaphor sucks. Pokémon is neither rare, nor hard to catch. Shiny Pokémon on the other hand are rare. Legendary Pokémon are hard to catch.
UC5vXMZJl9P-QWluFbEDvJQw;@yogames6199;How about we get unviersal pay and dont have to work and we spend time playing games watching movies and enjoying life;2024-04-12T21:05:11Z;22;;How about we get universal pay and do not have to work, and we spend time playing games watching movies and enjoying life
UC3DQao8Q94gxF8uREuA8f8w;@Alexibawendi;"As a newbie that wants to invest, you must have these three things in mind<br>1. Have a long term mindset.<br>2. Be willing to take risk.<br>3. Be careful on money usage, if you&#39;re not spending to earn back, then stop spending.<br>4. Never claim to know - Ask questions and it&#39;s best you work with a financial advisor.";2024-04-13T04:42:51Z;21;;As a newbie that wants to invest, you must have these three things in mind 1. Have a long term mindset. 2. Be willing to take risk. 3. Be careful on money usage, if you're not spending to earn back, then stop spending. 4. Never claim to know Ask questions and it .best you work with a financial advisor.
UCsVoDnSEsmdxp5w75c7raiA;@Gavinleeyoutube;"I heard the first jobs in the medical field that will get replaced will be Pharmaceutical jobs, if you&#39;re going to school for that, good luck";2024-04-12T21:29:57Z;21;;I heard the first jobs in the medical field that will get replaced will be Pharmaceutical jobs, if you're going to school for that, good luck
UCYXIgVjKXx1H8V9zptaD4YA;@NormanLor;"I DON&#39;T THINK ANY POSITION INCLUDING CEOS AND ACTUAL COMPANY OWNERS IS IMMUNE FROM AI&#39;S BOOT!!";2024-04-12T19:05:41Z;17;;I DON'T THINK ANY POSITION INCLUDING CEOs AND ACTUAL COMPANY OWNERS IS IMMUNE FROM AI S BOOT!!
UC-jgbA3YxqkoIV8zXvT2XQw;@lemuelcatral6230;and embalmers..;2024-04-13T00:02:50Z;17;UCds1d9ZDLejQwDf9nM6UBzw;And embalmers.
UC-h3PP3gM8xcBvhQPkLjomQ;@jagjot-singh;AI jobs are not in demand, they are very few.;2024-04-12T18:15:23Z;16;;AI jobs are not in demand, they are very few.
