id;name;text;time;likes;reply
UCGimqKo0szEvrTQkdWh-Lmg;@badpuppy3;"If AI companies don&#39;t develop and roll out AI carefully, they will encounter a public backlash, possibly even violent, that they would be wise to avoid.  Disrupting people&#39;s livelihoods doesn&#39;t come without consequences.";2023-12-18T20:36:02Z;52;
UC3cpqGXfvAIZz3TwrRfHgnA;@Andrew-pc8zn;I see most people pivoting to manual labor jobs. The advent of AI demonstrates that it is easier to emulate our minds than our physiology (even million dollar robots cannot do some tasks we do).;2023-12-18T18:49:33Z;43;
UCQsxvKJD85c5wNF2KaLKqsg;@user-xn1dh6ml4n;AI was supposed to automate work so that humans could spend time in art. AI automated art so humans could work more;2023-12-18T18:00:09Z;34;
UCnixBEb5BbXxGm-1D_xoluQ;@youcantata;"AI will be an inevitable way of life like electricity, car, computer, internet and smart phone. Many lost their job due to these new inventions, but many got new opportunities and jobs. We human society coped with these innovations and their challenges pretty well up until now. So don&#39;t worry. AI is just another internet or another smartphone wave. People who lost jobs due to AI will adapt to new business reality, and who don&#39;t will die out eventually within the next 50 years. Next generation will take AI for granted as current generation take electricity, tab water, internet and smartphone for granted.";2023-12-18T17:31:25Z;20;
UCtddLwKnPsyPuKAjd8VcgWg;@kinngrimm;Instead of paying more taxes they may increase their private security till corporations become states. Companies are by design fascist in nature and aslong that underlaying fabric is not changed, most of us might end up worse. Aslong we are not living in an utopia, we need to be vigilant to not end up in a dystopia.;2023-12-18T22:03:51Z;15;
UCXP4-_3rP6qnxdksTcbYwgA;@mralexpub;What concerns me is the ideology people / government coding AI.;2023-12-18T17:48:16Z;15;
UCny361LIzXS2OyaSc-Zlo1g;@icomefromcanadia2783;"One flaw in the logic of suggesting that automation or AI will take over and companies will be rich, while &quot;regular&quot; people will be poor or without jobs, is that if regular ppl don&#39;t have disposable income, they won&#39;t be buying nearly as much of the product created through automation. If ppl don&#39;t have money, they can&#39;t buy; if people can&#39;t buy, then companies lose money.";2023-12-18T18:19:31Z;14;
UCWQPr-JDRzr-kuQWF0IsVqQ;@aselfieb;Thanks dude! for keeping us financially Educated! Regardless of how Bad it gets or the economy, I still make over $22,000 every single week;2023-12-20T11:58:42Z;13;
UC7CcGK8p_xThlUP9U64eDhg;@ragus1416;"I really appreciate the comment, &#39;The winners will win more than the losers lose.&#39; This is the reason why a few countries/people are very rich compared to the many poor countries/people. Countries/people that have adapted to new technologies and similar advancements will develop more than those that do not embrace changes.<br><br>This is particularly applicable to AI.";2023-12-19T06:10:35Z;13;
UCxW2xdJab3Y0nJ1JLJaUs-w;@timenglert8998;The fundamental problem here is not AI but Capitalism, which tends to drive wages down and eliminate jobs while rewarding investors and top management. Without outside pressure from government, labor unions or the general public this is the case as we can see right now. Remember the first rule of business, buy low and sell high. The biggest cost in any business is labor and corporations will reduce this cost however possible which will only further job loss and income inequality. Capitalism is a fine system for those who have some.;2023-12-19T15:33:37Z;12;
UC0paOjC26qModWBbTKAfEPQ;@eryan4712;What to do with excess humans?;2023-12-18T17:04:30Z;12;
UC4SvmEwgpCGX9LgrvUFCIGg;@woodchuck003;Today the public backlash is mostly coming from politicians and news media (like this video) that lack the proper understanding of what AI is and what a large language model is.;2023-12-18T20:52:32Z;10;UCGimqKo0szEvrTQkdWh-Lmg
UCZ1rIrGPxaK6a06TA0fZyeA;@DragonKingGaav;Nvidia and Nvidia stock holders will be the real winners!!!;2023-12-18T18:07:59Z;10;
UCzfg36hDho6x0PLbTjblK5Q;@slytherben;Completely backward. AI effects jobs at the top first - creatives, finance, efficiency. AI cannot currently replace labor. So it starts at the top, effecting people at the top, then over the decades, works its way down to effect people at the bottom. Currently, AI most impacts creatives, video, photo, design, film, gaming, music. Next it will dramatically change search - Google, Bing;2023-12-18T17:37:13Z;10;
UCpM1GG1d2yE0XDw2f0oPVkQ;@JosephSolisAlcaydeAlberici;Public education will become obsolete, because using AI would become cheaper than employing human teachers who are teacher union members.;2023-12-18T17:11:13Z;10;
UCMdGemeN1bPdi1vS5hzrPvA;@mw66683;Colleges and universities may need to  rethink how they do business.;2023-12-19T00:02:06Z;9;
