id;name;text;time;likes;reply;CleanedText
UCtddvgACqMAFq1Hyu8Pi7GQ;@nicky4114;He literally said that jobs will be eliminated and the rich will get richer.  Then he said that we will all get government hand outs of 1/8 billion per person.  He perfectly described a dystopian dictatorship.  He literally just described how his company will destroy our world;2024-02-27T18:18:02Z;65;;He literally said that jobs will be eliminated, and the rich will get richer. Then he said that we will all get government hand outs of 1 8 billion per person. He perfectly described a dystopian dictatorship. He literally just described how his company will destroy our world
UCZkayw_iCqEyPcMF9s0AZqQ;@TB-sq1um;"The problem with AI taking creative jobs is that they are training the neural nets on living artists&#39; work. If they limited the neural nets to learning from work that is already in the public domain it would still be amazing, and living artists would still be motivated to create new work. Instead, they took a shortcut that might destroy our creative industries in a generation.";2023-10-16T20:22:45Z;60;;The problem with AI taking creative jobs is that they are training the neural nets on living artists work. If they limited the neural nets to learning from work that is already in the public domain it would still be amazing, and living artists would still be motivated to create new work. Instead, they took a shortcut that might destroy our creative industries in a generation.
UC2iE0ROguuIFqV_H93wRWuA;@johntowers1213;"sure but Artists today are neural nets that train themselves on other Artists work and always have done, we have entire schools of art that do nothing but ape other artists work that are them selves a conglomeration of previous artists works to form a recognizable style, we like to think humans have some divine spark that&#39;s capable of inspiration drawn from the void, but thats really not the case, we build on the works of other in a never ending cycle of iteration. Built from the bones of what came before.";2023-10-19T05:35:21Z;27;UCZkayw_iCqEyPcMF9s0AZqQ;Sure but Artists today are neural nets that train themselves on other Artists work and always have done, we have entire schools of art that do nothing but ape other artists work that are themselves a conglomeration of previous artists works to form a recognizable style, we like to think humans have some divine spark that.capable of inspiration drawn from the void, but that is really not the case, we build on the works of other in a never ending cycle of iteration. Built from the bones of what came before.
UC1KJK-ZiOXa4f7GahIRItEg;@01xcoder;That long pause at the beginning says it all;2023-11-01T12:44:14Z;21;;That long pause at the beginning says it all
UCqZAZb9cVgwO4i6MFMyPzjw;@ByWayOfDeception;"I like it when Joe holds someone to an answer.  &quot;Hmmmmm..... back to the original question....&quot;";2024-01-10T00:10:32Z;17;;I like it when Joe holds someone to an answer. Hammer..... back to the original question....
UCXCqLgEApcMvPwkWcpbGqjw;@mallow610;I think the most shocking thing in this interview is how Sam is speaking in definitive terms. He knows things that have given him enough data points to say that things WILL happen.;2023-10-23T06:17:31Z;13;;I think the most shocking thing in this interview is how Sam is speaking in definitive terms. He knows things that have given him enough data points to say that things WILL happen.
UCyFCc_rFZY37tuda36FrplQ;@patrickadams7120;"Honestly i think we are headed down the Bladerunner rabbit hole as far as AI is concerned.....Alexa is basically JOI in it&#39;s most primitive form,and we have all the tools in other areas....internet banking,GPS for your car,mobile phone for social media,your fitbit watch that monitors your vitals,your Spotify,your Cloud based media and other stuff will be collated and brought together in one entity that you can pretty much run and control your life with.Your AI will naturally be paired with any device you personally own and all of this of course will be voice interactive but it will be intelligent enough to give you ideas and suggestions to improve your life with your own personal AI";2023-10-17T11:43:25Z;5;;Honestly I think we are headed down the Blade runner rabbit hole as far as AI is concerned..... Alexa is basically JOB in it .most primitive form, and we have all the tools in other areas....internet banking, GPS for your car, mobile phone for social media, your Fitbit watch that monitors your vitals, your Spotify, your Cloud based media and other stuff will be collated and brought together in one entity that you can pretty much run and control your life with. Your AI will naturally be paired with any device you personally own and all of this of course will be voice interactive, but it will be intelligent enough to give you ideas and suggestions to improve your life with your own personal AI
UCpQTbi9AKiPf3ho174YaW5g;@turbofreddy;@@susanwojcicki5714but is your art your main means of income? If so, do you have kids to feed with that income?;2023-12-09T11:02:12Z;5;UCZkayw_iCqEyPcMF9s0AZqQ;Is your art your main means of income? If., do you have kids to feed with that income?
UCGiFvpvu75yeVkHbS0NN_iQ;@kristopherryanwatson;"once AI is further developed, and adapts to become smarter than Humans (which is within the next 5-6 years),  government contracts will start coming in for National Defense implementations in the form of partnerships for Companies like OpenAI, and we&#39;ll all hav to accept it as  the perceived safeguard against international threats and other Nations  like Russia and China doing the exact same thing. Hmm...where does this sound familiar ??<br><br>We are living in the age where Companies like OpenAI will soon become like Skynet.";2024-03-25T13:46:10Z;4;UCtddvgACqMAFq1Hyu8Pi7GQ;Once AI is further developed, and adapts to become smarter than Humans which is within the next 5 6 years, government contracts will start coming in for National Defense in the form of partnerships for Companies like OpenAI, and we'll all had to accept it as the perceived safeguard against international threats and other Nations like Russia and China doing the exact our thing. Hmm...where does this sound familiar ?? We are living in the age where Companies like OpenAI will soon become like Skynet.
UCK97fOnTcTrhsB5Qz_QnWzQ;@axbxcxdx;"Sam is modern day Oppenheimer<br><br>He is the man who has given us the power to destroy ourselves and the world is not prepared.<br><br>Now that he is fired, it&#39;s  his time to deal with the consequences of his achievements.";2023-11-26T15:34:33Z;4;;Sam is modern day Oppenheimer He is the man who has given us the power to destroy ourselves and the world is not prepared. Now that he is fired, it is time to deal with the consequences of his achievements.
UCsMpmHJ-X9qYg4PzqoKVcOg;@appipoo;"I think the problem is those artists are now out of a job and don&#39;t have money but that&#39;s just me.";2023-10-22T20:20:36Z;4;UCZkayw_iCqEyPcMF9s0AZqQ;I think the problem is those artists are now out of a job and don't have money but that .just me.
UCeMnw3wKYhpZJx3Nr-i4q9Q;@dulaelba9589;"Humanity&#39;s obsession with having others do everything for us, to the point of seeking slavery as a solution, threatens our very existence. Will we choose this path to destruction, or will we find a better way?";2023-12-07T12:49:08Z;3;;Humanity.obsession with having others do everything for us, to the point of seeking slavery as a solution, threatens our very existence. Will we choose this path to destruction, or will we find a better way?
