id;name;text;time;likes;reply;CleanedText;ProcessText;SentimentScore;ActualLabel
UCh7A9t8W-6VtCcajQB5AFWg;@nessdevelopment8779;"To add backup on your analogy with cloud migration, I&#39;m a ten-year senior Java enterprise developer working for the Defense Department. And I&#39;m on the cloud migration team where we are JUST NOW comparing different CSPs before we even start migrating! Lord only knows how long the actual migration will take, but I&#39;m guessing at least a few years. AND on your other analogy about COBOL, about 1/3 of our developers are COBOL programmers maintaining our central mainframe. :-D So yes, there will always be some old mess in legacy systems moving at glacial speed. Not everything is on the cutting edge. Now the old messes aren&#39;t a lot of fun to work on compared to the new sexy stuff, but they&#39;re certainly not eliminated. It&#39;s still a decent paycheck.";2024-03-20T22:45:05Z;104;;To add backup on your analogy with cloud migration, I m a ten year senior Java enterprise developer working for the Defense Department. And I m on the cloud migration team where we are JUST NOW comparing different CSPs before we even start migrating! Lord only knows how long the actual migration will take, but I m guessing at least a few years. AND on your other analogy about COBOL, about 1 3 of our developers are COBOL programmers maintaining our central mainframe. D So yes, there will always be some old mess in legacy systems moving at glacial speed. Not everything is on the cutting edge. Now the old messes are not a lot of fun to work on compared to the new sexy stuff, but they re certainly not eliminated. It .still a decent paycheck.;add backup analogy cloud migration ten year senior java enterprise developer work defense department cloud migration team compare different csps even start migrate lord know long actual migration take guess least year analogy cobol developer cobol programmer maintain central mainframe yes always old mess legacy system move glacial speed not everything cutting edge old mess not lot fun work compare new sexy stuff certainly not eliminate .still decent paycheck;-0.10899999737739563;Negative
UCWv7vMbMWH4-V0ZXdmDpPBA;@programmingwithmosh;Thanks for sharing your real world experience! Most of the fear around AI comes from YouTubers with no real world experience or CEOs pretending to be software engineers! Lol;2024-03-21T02:41:11Z;59;UCh7A9t8W-6VtCcajQB5AFWg;Thanks for sharing your real world experience! Most of the fear around AI comes from YouTubers with no real world experience or CEOs pretending to be software engineers! laughing out loud;thanks share real world experience fear ai come youtubers real world experience ceo pretending software engineer laugh loud;0.3179999887943268;Negative
UCZjcu6kgNQ8wOOLo5oWJ3lg;@bishopoftroy;I find it a bit arrogant to say the CEO of Nvidia doesn`t understand real world software given the fact he was a C++ programmer, but even if he wasn`t i`m sure he understands software.;2024-03-20T18:40:25Z;8;;I find it a bit arrogant to say the CEO of Nvidia does not understand real world software given the fact he was a C programmer, but even if he was not i am sure he understands software.;find bit arrogant say ceo nvidia not understand real world software give fact c programmer even not sure understand software;-0.6019999980926514;Negative
UCcT7DMTZP64LRAi8yGorApQ;@iamnotfamous6591;"Please Stop preprare for a coding job because it will take every one&#39;s job be fear Ai Because Ai will replaced programmers!!!!!!!!!!!!!!!!";2024-03-21T11:59:04Z;5;;Please Stop prepare for a coding job because it will take every one .job be fear Ai Because Ai will replace programmers!!!!!!!!!!!!!!!!;please stop prepare coding job take .job fear ai ai replace programmer;-0.7379999756813049;Negative
UCZjcu6kgNQ8wOOLo5oWJ3lg;@bishopoftroy;@@programmingwithmosh I`ve never ever in my 20+ IT career met a software company CEO who doesn`t understand software/know how to program/was a software engineer. Nobody puts you in a CEO spot without the basics and if one starts as a CEO with no coding knowledge, one rarely if ever would succeed. All the best mate !;2024-03-21T12:29:24Z;5;UCZjcu6kgNQ8wOOLo5oWJ3lg;I have never ever in my 20 IT career met a software company CEO who does not understand software know how to program was a software engineer. Nobody puts you in a CEO spot without the basics and if one starts as a CEO with no coding knowledge, one rarely if ever would succeed. All the best mate !;never ever career meet software company ceo not understand software know program software engineer nobody put ceo spot basic start ceo cod knowledge rarely ever succeed best mate;-0.16899999976158142;Negative
UCPfEms0i2NVPo0-01L8x1yQ;@mitch1668;Currently, 85% percent of AI projects fail.;2024-03-21T03:15:08Z;4;;Currently, 85 percent of AI projects fail.;currently percent ai project fail;-0.7670000195503235;Negative
UCGX5m2DP8FJv14u-i4_dZWA;@afomaorji2900;Thank you so much,  Mosh. Tbis video really calmed my mind down and put me at peace.;2024-03-20T19:30:08Z;4;;Thank you. Much, Mosh. This video really calmed my mind down and put me at peace.;thank much mosh video really calm mind put peace;0.7390000224113464;Positive
UCs-owfwf1ikeIwrqb4zsfeQ;@HelloAditya101;True!!! We should change our fields!!!;2024-03-21T12:01:19Z;3;UCcT7DMTZP64LRAi8yGorApQ;True!!! We should change our fields!!!;true change field;-0.1850000023841858;Negative
UCcT7DMTZP64LRAi8yGorApQ;@iamnotfamous6591;@@HelloAditya101 YES!!!;2024-03-21T12:04:39Z;3;UCcT7DMTZP64LRAi8yGorApQ;YES!!!;;0.9390000104904175;Positive
UCWv7vMbMWH4-V0ZXdmDpPBA;@programmingwithmosh;I get that question often. I’ll have to make a short video on the topic. Stay tuned. I’ll release it in a few days.;2024-03-25T15:53:34Z;2;UCHIbS1WFhLWYlNxvEbMIuQQ;I get that question often. I will have to make a short video on the topic. Stay tuned. I will release it in a few days.;get question often make short video topic stay tune release day;0.07800000160932541;Negative
UCWv7vMbMWH4-V0ZXdmDpPBA;@programmingwithmosh;Good luck my friend! Don’t let negative people or fear mongers dictate your life.;2024-03-25T15:56:52Z;2;UC2MvA_dBtqUsnzrAlmFHL-Q;Good luck my friend! do not let negative people or fearmongers dictate your life.;good luck friend not let negative people fearmongers dictate life;0.578000009059906;Positive
UCNiWWx4-m08k5-vYeCA4weQ;@CYBERENA;"I disagree, you tried gpt for coding?  it can code really good if you ask it for pieces one step time.  it&#39;s clear coding is dying quickly";2024-03-22T01:41:09Z;2;;I disagree, you tried GPT for coding? It can code perfect if you ask it for pieces one step time. It .clear coding is dying quickly;disagree try gpt cod code perfect ask piece step time .clear coding die quickly;-0.02199999988079071;Negative
UCMVOtB8-gwwjsX6q5crb5mA;@Rayhanranadev;"Devin AI is a powerful tool in coding, but it doesn&#39;t mark the end of human programming. It assists coders by automating tasks, but human creativity and problem-solving remain crucial for the future of coding. Thank you!";2024-03-21T22:54:13Z;2;;Devin AI is a powerful tool in coding, but it does not mark the end of human programming. It assists coders by automating tasks, but human creativity and problem solving remain crucial for the future of coding. Thank you!;devin ai powerful tool coding not mark end human programming assist coder automate task human creativity problem solve remain crucial future cod thank;0.5830000042915344;Positive
