id;name;text;time;likes;reply
UCizlqA8o4_mqMWNxDdqRcXQ;@KatharineOsborne;"As a software developer who has been unemployed for the last 8 months (I&#39;ve never had a job search take more than a couple of months), I would NOT recommend transitioning into dev, especially web dev. Maybe ML engineering is a safer bet, but the market is currently flooded with candidates in web development. And I do think software development is at high risk of AI simply because AI coding tools have already been widely adopted. It won&#39;t replace all software developers but it will make developers more efficient so fewer will be doing more.";2024-03-07T14:56:37Z;566;
UCSYHnMrlfigBMF7Vay1Vsrw;@pilotheress;"we are getting very close to the time the great depression started 100 years ago, ending around the 30s. i think it&#39;s about to happen again with these jobs being taken away";2024-03-09T23:43:39Z;429;
UCziXginurkiaPoc-8iGtMlQ;@coquifrog;Yup, I chose software six years ago for job security.  Now I have no job security.;2024-03-12T12:41:08Z;89;UCizlqA8o4_mqMWNxDdqRcXQ
UCyNz6601vEJZ3AErVi9Zlrw;@victor-536;So are kindergarten and elementary school teachers. What, we’re going to leave kids to their own devices?;2024-03-12T09:59:23Z;81;UCU78zKig96wgiyirg8wxUaQ
UCZw-DUPQxMPBgsADukzqO3Q;@MarinaMarina-fr8ex;"The problem right now is not in AI but in economics crisis, so big guys don&#39; invest in startups as much as in 2021 and 2022. That&#39;s why there is a lot less projects than before.";2024-03-12T16:36:39Z;46;UCizlqA8o4_mqMWNxDdqRcXQ
UCIQBOm2Nyclo3YfEnC5czxg;@anngene5753;Had the exact same thoughts as well. Truly unbelievable.;2024-03-12T09:45:39Z;34;UCSYHnMrlfigBMF7Vay1Vsrw
UCWV-N6CMjJwcnVNr3_gYXqQ;@karlheifisch;"Same experience. No one is hiring software engineers and I see why. I also don&#39;t think that AI Experts are safe GPT can program neural nets and even though they are not of great quality and can&#39;t see why that souldn&#39;t be the case a few years from now";2024-03-12T22:11:14Z;21;UCizlqA8o4_mqMWNxDdqRcXQ
UCPbdf7U4zb1PaDMq8CmGGHQ;@jaidern;I believe this is way too optimistic. Maybe its accurate enough for the next 5 years (though I really doubt it), specially the data that points that amost so many new jobs will be created. <br>The way I see it, this is the beginning of the end of work as we knew.;2024-03-10T20:29:35Z;11;
UCb0cB9TTK_op0OPO75-l6Lw;@augustnkk2788;Youd be surprised;2024-03-15T19:44:37Z;11;UCU78zKig96wgiyirg8wxUaQ
UCJZdSCOucTyY6se3P_9xa_Q;@AmberyTear;"As a social worker I cannot imagine how on Earth could AI do ANY of my job so I&#39;m surprised to see <a href=""https://www.youtube.com/watch?v=x2x8Ww7Es4s&amp;t=639"">10:39</a>. Everything I do is about individualized, personal attention and help for variety of  people where each person requires vastly different approach to how I help them. Not to mention those with disabilities have to be driven places and physically assisted etc.";2024-03-13T06:14:05Z;10;
UCPg8-l27mn5iH8-_UAhsCPA;@roshanbhatta1652;Tina, common just wow...The summarized information that you provide from actual journal (Which i rarely see youtubers do) is your main skill that forces me to watch your videos. Secondly, your disection of the topic into smaller chunks to clerk level jobs to tech level is amazing. I myself who is in STEM field, is seeking a chance to be at the forefront of AI (in this GREAT RESET) found this video a gem. <br>Keep on providing such quality content, you are creating massive value to the world. Thank you.;2024-03-10T15:17:01Z;10;
UCATLllZnew1_IWq8-OT9gOg;@roshniedwards5576;Especially with the imminent creation of a generalized advanced AI model, most of the jobs on that list will be gone.;2024-03-21T19:34:37Z;10;UCSYHnMrlfigBMF7Vay1Vsrw
UC0tHK-H_vDkj7XLNUfZ6VDQ;@jankaufmann4305;I think nowadays you can make great websites with no code tools;2024-03-13T09:06:06Z;9;UCizlqA8o4_mqMWNxDdqRcXQ
UCqgpVAZp-IBE2R4E-2McS4g;@notbrandon2888;I’m about to off myself at 25 because on top of how garbage life has been in general, I can not pick a career path. I can’t do healthcare because I’m just not built for it, and was going to try getting a degree to be a software engineer, only to find out about Deving taking that entire career away very soon. AI is taking EVERYTHING and I just won’t be able to live a decent life not scrounging for scraps and struggling with money forever. Is there ANY damn reason I should not give up over this? AI IS TAKING EVERYTHING AND ANYONE NOT PROFITING ON SOCIAL MEDIA WILL BE DONE FOR;2024-03-16T15:02:10Z;8;
UCnLpX4Cl_hVwF04nUvCC2IQ;@DJ-Illuminate;"No jobs are safe. Seriously. This is exponential so whatever you think it can&#39;t do it can in one year.";2024-03-15T23:09:21Z;6;
UC6ewhmXVCXu_ZagyQGbduzA;@victoriap1561;"&gt;social worker<br>how the hell are they going to be replaced by AI?";2024-03-07T14:35:31Z;6;
UC17U_YTUWS3jwP-8gctVjcw;@VybeX-;plumbing, Auto Repair, Animation, Electrical Work, Programmer, Law Enforcement, Nurses, Dentists, Doctors, Lawyers, Real Estate;2024-03-07T23:42:05Z;5;
UC2UXDak6o7rBm23k3Vv5dww;@TinaHuang1;Thanks so much for your kind words - it genuinely makes me feel so appreciated. I’ll keep doing so 😊;2024-03-10T17:24:48Z;4;UCPg8-l27mn5iH8-_UAhsCPA
UC8xmjHKXepgpBbflkzmabHg;@jfw304;but I watched another video of yours saying that programmers will be fully replaced;2024-03-08T18:02:56Z;4;
UCnT7atcF0uzzX6I8KASLcSw;@damnnsupercalifragilistice3935;"The video has no timestamps. I&#39;m out.";2024-04-02T08:20:25Z;3;
UCDoLpleEvLe_m4xV_vTQi4w;@kuraddohikari;"Wouldn&#39;t you be concerned gpt could hallucinate when merging the datasets? And then you&#39;d still need to write python code to verify it didn&#39;t mess it up";2024-03-22T13:27:56Z;3;
UCnrmS3slhwRLLfhip8FvLRw;@qurb4n01;"I don&#39;t understand one thing. How is it possible that &quot;Software and Applications Developers&quot; is in low risk of replaceable according to this data, although all the people says that software developers will lost their jobs because of AI (<a href=""https://www.youtube.com/watch?v=x2x8Ww7Es4s&amp;t=724"">12:04</a>)";2024-03-10T07:20:23Z;3;
UCgupexZ_2WzxLjAM0riLDwg;@drakestorm4691;@@pravin4266 I will see, how will AI replace boilers 😄;2024-03-12T10:27:37Z;3;UCU78zKig96wgiyirg8wxUaQ
UC5uIlvoW3TQDpRxWolscTag;@missoats8731;Animation? Programmers? Lawyers? Are you high? Those are amongst the first to go.;2024-03-09T11:36:40Z;3;UC17U_YTUWS3jwP-8gctVjcw
UCe1DY1ABo49g1TDjqjxQvcg;@bimosatriyotid6061;Become a bouncer;2024-03-28T17:25:00Z;2;
UCwGhHZ25pulzgqeNfuRaJzQ;@cips35;Computer engineers coping hard;2024-03-25T15:07:07Z;2;
UCzTF-VQP2KlKs954g5VRL5A;@peterdickson-yj9zz;Zzzzzzzzz.....<br>Zzzzzzz......<br><br>Blah<br>Blah<br>Blah<br>Blah;2024-03-22T17:36:36Z;2;
UC3XSYgnbEwBsNlEQkkll39g;@yoshimansxl;Ai is actually going to make my job easier.;2024-03-22T15:17:57Z;2;
UC2UXDak6o7rBm23k3Vv5dww;@TinaHuang1;I checked :);2024-03-22T14:29:53Z;2;UCDoLpleEvLe_m4xV_vTQi4w
UCB71ub4KeyWNHBGzK4dClfw;@arkansavalder;AI cant replace your job if you dont have one;2024-03-17T13:33:55Z;2;
UCJ8-oT7rne7uazajft-xA-g;@kuritheking;The world economic forum is EVIL!! Our governments do whatever they say!!!;2024-03-13T14:49:06Z;2;
UC-W8BU_JJV0Z8kWWjFEYEBA;@kjkj4725;Lol no. Replaceable already.;2024-03-11T09:58:08Z;2;UCMLm_fcuSWcgf-k8KPbVgoA
UCU_NrcpcizNmYETkjKIN8Lw;@clickbait1602;I hope dentists dont get replaced by ai in the near future lmao;2024-03-10T23:47:31Z;2;UC17U_YTUWS3jwP-8gctVjcw
UCKPsOYEVOW80FqEA8JfwYmA;@XianCTFDemo;没有任何。只有我们黑客才有工作 None. Only us Hackers will have jobs 👌🏼;2024-03-04T07:54:56Z;1;UC2UXDak6o7rBm23k3Vv5dww
UC6pi3jddGN9t5ncprtKY95w;@user-nj7co3hi4y;"Artificial intelligence is going to replace every job, people changing career won&#39;t help. Maybe AI can&#39;t do the jobs now, but In 5 years artificial intelligence will have every job. Artificial intelligence is smarter and better than us. So stop lying.";2024-03-05T22:17:12Z;1;UC2UXDak6o7rBm23k3Vv5dww
UCGJ0SskzZbGsubESW701TYg;@kikijewell2967;"Thank you for such a well researched video. Extremely helpful.<br><br>Sorry for any haters - remember: some people will never be happy, and can always find things to complain about. You don&#39;t have to appease them, because they work hard not to be appeased.";2024-03-13T13:24:53Z;1;UC2UXDak6o7rBm23k3Vv5dww
UCcB8K3okpyvKWd9AcsDN3Xw;@mashroom2927;"I really hope teachers won&#39;t get replaced, I&#39;m not a teacher but as a woman who wants to be a mother someday, I want my kids to have a real life and  experiences";2024-04-13T09:02:40Z;1;
UCBWLdNHIk1-4cARNKPULo-w;@hellohawra;Graphic designers will definitely be replaced after 6 years of experience my passion has fade away because everyone can do it its no demanding and a career change is calling me;2024-04-11T22:41:34Z;1;
UCJLxkApS1prsHThma5m8Syg;@aileen8492;"Advice for millennials if its in the mean, save and invest money as much as possible for you and your children without spending on worthless things in coming 10 years. It will not be a lot and cant be enough for a whole life but you will not come on the streets if jobs are gone and will get you some time to think. We don&#39;t know the future but whats in our control currently is how we handle the money we are currently getting.";2024-04-09T07:47:13Z;1;
UC2-SQKpkGufFYO6Ax8aviaQ;@allenjohnstone9945;"I&#39;ve worked in a data centre for over 35 years. Automation was supposed to replace operators 30 years ago in the mainframe environment. Still here and not happening anytime soon. Biggest issue companies have now is in those 30 years they have not trained any younger people and we are all old now and retiring with no replacements. Bad call Big Blue.";2024-04-09T04:42:32Z;1;
UCvjXJq-thuzkDkC_qaNWi0Q;@fadwamf4614;But what about dentist?;2024-03-29T07:54:33Z;1;
