id;name;text;time;likes;reply
UCh7A9t8W-6VtCcajQB5AFWg;@nessdevelopment8779;"To add backup on your analogy with cloud migration, I&#39;m a ten-year senior Java enterprise developer working for the Defense Department. And I&#39;m on the cloud migration team where we are JUST NOW comparing different CSPs before we even start migrating! Lord only knows how long the actual migration will take, but I&#39;m guessing at least a few years. AND on your other analogy about COBOL, about 1/3 of our developers are COBOL programmers maintaining our central mainframe. :-D So yes, there will always be some old mess in legacy systems moving at glacial speed. Not everything is on the cutting edge. Now the old messes aren&#39;t a lot of fun to work on compared to the new sexy stuff, but they&#39;re certainly not eliminated. It&#39;s still a decent paycheck.";2024-03-20T22:45:05Z;104;
UCh7A9t8W-6VtCcajQB5AFWg;@nessdevelopment8779;"To add backup on your analogy with cloud migration, I&#39;m a ten-year senior Java enterprise developer working for the Defense Department. And I&#39;m on the cloud migration team where we are JUST NOW comparing different CSPs before we even start migrating! Lord only knows how long the actual migration will take, but I&#39;m guessing at least a few years. AND on your other analogy about COBOL, about 1/3 of our developers are COBOL programmers maintaining our central mainframe. :-D So yes, there will always be some old mess in legacy systems moving at glacial speed. Not everything is on the cutting edge. Now the old messes aren&#39;t a lot of fun to work on compared to the new sexy stuff, but they&#39;re certainly not eliminated. It&#39;s still a decent paycheck.";2024-03-20T22:45:05Z;104;
UCWv7vMbMWH4-V0ZXdmDpPBA;@programmingwithmosh;Thanks for sharing your real world experience! Most of the fear around AI comes from YouTubers with no real world experience or CEOs pretending to be software engineers! Lol;2024-03-21T02:41:11Z;59;UCh7A9t8W-6VtCcajQB5AFWg
UCWv7vMbMWH4-V0ZXdmDpPBA;@programmingwithmosh;Thanks for sharing your real world experience! Most of the fear around AI comes from YouTubers with no real world experience or CEOs pretending to be software engineers! Lol;2024-03-21T02:41:11Z;59;UCh7A9t8W-6VtCcajQB5AFWg
UCZjcu6kgNQ8wOOLo5oWJ3lg;@bishopoftroy;I find it a bit arrogant to say the CEO of Nvidia doesn`t understand real world software given the fact he was a C++ programmer, but even if he wasn`t i`m sure he understands software.;2024-03-20T18:40:25Z;8;
UCcT7DMTZP64LRAi8yGorApQ;@iamnotfamous6591;"Please Stop preprare for a coding job because it will take every one&#39;s job be fear Ai Because Ai will replaced programmers!!!!!!!!!!!!!!!!";2024-03-21T11:59:04Z;5;
UCZjcu6kgNQ8wOOLo5oWJ3lg;@bishopoftroy;@@programmingwithmosh I`ve never ever in my 20+ IT career met a software company CEO who doesn`t understand software/know how to program/was a software engineer. Nobody puts you in a CEO spot without the basics and if one starts as a CEO with no coding knowledge, one rarely if ever would succeed. All the best mate !;2024-03-21T12:29:24Z;5;UCZjcu6kgNQ8wOOLo5oWJ3lg
UCPfEms0i2NVPo0-01L8x1yQ;@mitch1668;Currently, 85% percent of AI projects fail.;2024-03-21T03:15:08Z;4;
UCGX5m2DP8FJv14u-i4_dZWA;@afomaorji2900;Thank you so much,  Mosh. Tbis video really calmed my mind down and put me at peace.;2024-03-20T19:30:08Z;4;
UCs-owfwf1ikeIwrqb4zsfeQ;@HelloAditya101;True!!! We should change our fields!!!;2024-03-21T12:01:19Z;3;UCcT7DMTZP64LRAi8yGorApQ
